sentence,doc,n
"(nyse: ally) is a leading digital financial services company and a top 25 u.s. financial holding company offering financial products for consumers, businesses, automotive dealers and corporate clients",26,1
(nyse: nlsn) is a global performance management company that provides a comprehensive understanding of what consumers watch and buy,39,1
"(nyse:coo), is one of the world’s leading manufacturers of soft contact lenses and related products and services",40,1
"/b.a. degree, ideally in computer science, marketing or business.10+ years of experience in marketing including minimum 3 years of experience with data management and reporting for data-driven marketing organizations",47,1
a certain degree of creativity and latitude is expected,16,1
a data steward is a business leader and/or recognized subject matter expert officially designated as accountable for these responsibilities,32,1
"a data steward will be responsible for utilizing the organization’s data governance guiding principles, policies, standards, etc. to ensure the “fitness” of assigned organization data assets – both their content and metadata",32,1
a fast-paced working environment that promotes working smarter and more efficiently and inspires you to approach the work seeing multiple perspectives,49,1
"a subsidiary of ally financial inc. and member fdic, the bank offers online savings, interest checking, money market accounts, certificates, and ira plans and products",26,1
"a team that is smart, supportive and empowering that will allow you to be challenged and thrive as well as grow your knowledge and skill",49,1
"ability for prolonged periods of time to walk, stand, stretch, bend and kneel",20,1
ability to analyze and make recommendations to resolve data issues,35,1
"ability to communicate at all levels with clarity, poise, maturity and precision both written and verbal",32,1
"ability to communicate clearly and effectively in english, both in spoken and written form",20,1
"ability to create and understand data models, taxonomy and a deep appreciation of data standards and data quality",42,1
ability to develop and make recommendations based on processes standards,40,1
ability to extract and upload data effectively,42,1
ability to function well in a team-centered environment,35,1
"ability to handle multiple prioritiesstrong drive for resultsability to sell ideas and influence peers and managementstrong business and financial acumeninitiates projects resulting in increased efficiencyimprovement mindsetability to lead and manage deliverables in large projectsstrong english fluencytechnical skills:experience in data cleansing, classification and coding of transactions preferreddata quality management leveraging enterprise toolsets like sap information stewarddata extract, transform and load experience (including mass change, mass load)advanced ms office skills (word/excel/powerpoint)experience with sap ecc 6.0 and s/4hana preferredstrong computer skills with accuracystrong communication skillsanalytical thinkerminimum education and experience requirements:education:bachelor's degree in business administration, , information systems, engineering, food science, microbiology or related field preferred",45,1
"ability to handle multiple prioritiesstrong drive for resultsability to sell ideas and influence peers and managementstrong business and financial acumeninitiates projects resulting in increased efficiencyimprovement mindsetability to lead and manage deliverables in large projectsstrong english fluencytechnical skills:experience in data cleansing, classification and coding of transactions preferreddata quality management leveraging enterprise toolsets like sap information stewarddata extract, transform and load experience (including mass change, mass load)advanced ms office skills (word/excel/powerpoint)experience with sap ecc 6.0 and s/4hana preferredstrong computer skills with accuracystrong communication skillsanalytical thinkerminimum education and experience requirements:education:bachelor's degree in business administration, , information systems, engineering, food science, microbiology or related field preferredexperience:minimum of 4-5 years of experience in master data management or data quality management4-6 years of product development, quality assurance data development and management strongly preferredprevious experience working with a global process manufacturing company is desiredexperience releated to business process improvement / continuous improvement (six sigma) and quality management systems is preferred",50,1
"ability to handle multiple prioritiesstrong drive for resultsability to sell ideas and influence peers and managementstrong business and financial acumeninitiates projects resulting in increased efficiencyimprovement mindsetability to lead and manage deliverables in large projectsstrong english fluencytechnical skills:experience in data cleansing, classification and coding of transactions preferreddata quality management leveraging enterprise toolsets like sap information stewarddata extract, transform and load experience (including mass change, mass load)advanced ms office skills (word/excel/powerpoint)experience with sap ecc 6.0 and s/4hana preferredstrong computer skills with accuracystrong communication skillsanalytical thinkerminimum education and experience requirements:education:bachelor's degree in business administration, information systems, engineering, packaging development or systems, or related field preferred",36,1
ability to handle sensitive and confidential materials in a professional manner,29,1
"ability to interact appropriately and effectively with guests, management, other team members, and outside contacts",20,1
"ability to learn, stretch and grow with top-notch learning & development opportunities and the power to network to be curious and explore other divisions within the business",49,1
"ability to manipulate, analyze, interpret large data sources, and tell a story from data through analysesmust have strong and clear verbal and written communication skills",39,1
"ability to mine data via multiple database management tools including oracle, mysql, db2 , teradata rdbms, sybase, sql server, and tableaufunctional knowledge and experience with balance sheet/general ledger systemsstrong relationship building and organizational skill with ability to identify, research, analyze and resolve complex problemsdetail and deadline oriented with strong analytical skillsability to works independently, with limited directionability to understand, document, and explain complex data flowsability to work in a fast-paced environment with competing priorities while maintaining a degree of creativityshift:1st shift (united states of america)hours per week:40bank of america - 30 days ago - save job - original jobapply nowapply on company sitesave this job",7,1
ability to multitask in a fast-paced dynamic workforce.,11,1
ability to navigate matrix organizations effectively,32,1
ability to read blue prints,4,1
ability to train others effectively,35,1
"ability to work as part of a team to drive resultscustomer service and process orientedqualificationseducation/experience requirementsbachelor’s degree in related fields or related experience, preferred3 years relevant experience in data management and analysis or other related fieldsprefer knowledge of sap or equivalent erp master data managementexperience with computer system validation and validated testing is a plusexperience in working with an erp master data add, changes, deleteswhat’s in it for you",33,1
ability to work independently as well as in a team environment.,11,1
