word,n
data,23
master,13
sap,9
local,8
maintenance,8
key,6
elanco,4
global,4
management,4
site,4
status,4
supply,4
system,4
2,3
ability,3
analyst,3
chain,3
erp,3
experience,3
gender,3
health,3
include,3
level,3
lilly,3
maintaining,3
operational,3
research,3
standard,3
technical,3
accurate,2
additional,2
animal,2
annual,2
anticipate,2
business,2
change,2
company,2
demonstrated,2
driven,2
employment,2
engineering,2
environment,2
formal,2
greenfield,2
identifying,2
impact,2
initiatives,2
instance,2
knowledge,2
legally,2
manufacturing,2
operating,2
operations,2
participating,2
planning,2
pmx,2
practices,2
procedures,2
process,2
processes,2
product,2
production,2
protected,2
providing,2
role,2
services,2
single,2
skills,2
solutions,2
supporting,2
utilizing,2
worldwide,2
000,1
02,1
1954,1
1b,1
2019,1
3,1
7,1
accountable,1
accuracy,1
action,1
affiliate,1
affirmative,1
age,1
america,1
analyze,1
applicable,1
arrangementlocal,1
aspects,1
assessment,1
assessments,1
attending,1
attention,1
authorized,1
bachelor’s,1
based,1
basic,1
basis,1
blue,1
build,1
candidates,1
citygreenfield,1
cmat,1
collaborative,1
color,1
complete,1
completeness,1
complex,1
conformance,1
consistency,1
consistent,1
contributing,1
corporate,1
costing,1
country,1
creates,1
creating,1
creation,1
cross,1
cultivate,1
daily,1
decade,1
degree,1
deliverables,1
delivers,1
design,1
detail,1
details,1
determining,1
developing,1
develops,1
deviations,1
disability,1
discriminate,1
division,1
drive,1
drives,1
driving,1
educate,1
eeo,1
effectively,1
efficiency,1
efficiently,1
efforts,1
employed,1
employees,1
employer,1
enhance,1
ensures,1
ensuring,1
environmental,1
equivalent,1
established,1
evidence,1
executing,1
execution,1
expires,1
expression,1
externally,1
facilities,1
fields,1
flows,1
forums,1
founded,1
fuel,1
functional,1
goals,1
headquarters,1
identity,1
implementation,1
implementing,1
improved,1
improvement,1
incidents,1
indiana,1
information,1
innovation,1
interactions,1
interfaced,1
internally,1
investigating,1
issues,1
jan,1
job,1
lda2,1
lead,1
leading,1
leveraged,1
leveraging,1
location,1
logging,1
maintains,1
materials,1
motivation,1
national,1
objectives,1
orientation,1
origin,1
overview,1
owners,1
parameter,1
past,1
peers,1
plant,1
position,1
power,1
preferably,1
preferences,1
proven,1
pursued,1
qualifications,1
qualified,1
race,1
readiness,1
regionnorth,1
regulatory,1
related,1
relationships,1
relevant,1
religion,1
reports,1
required,1
requiring,1
resolve,1
resource,1
reviews,1
root,1
run,1
safe,1
safely,1
safety,1
sales,1
sciences,1
scientific,1
select,1
serves,1
sexual,1
share,1
software,1
solid,1
solving,1
sound,1
sponsorship,1
strategy,1
strive,1
sustainable,1
systems,1
tn,1
tools,1
track,1
training,1
troubleshooting,1
united,1
updates,1
usa,1
user,1
utilize,1
veteran,1
visa,1
winshuttle,1
workplace,1
